experiment_name,run_name,dataset_name,run_number,execution_time_ms,n,t,nx,timestamp
step_size_fixed,aberth_150,rootfind_stepsize_150,1,5195.048,10,30,3,2025-08-21 19:27:06
step_size_fixed,aberth_150,rootfind_stepsize_150,2,3945.237,10,30,3,2025-08-21 19:27:10
step_size_fixed,aberth_150,rootfind_stepsize_150,3,3744.989,10,30,3,2025-08-21 19:27:14
step_size_fixed,aberth_150,rootfind_stepsize_150,4,3733.682,10,30,3,2025-08-21 19:27:17
step_size_fixed,aberth_150,rootfind_stepsize_150,5,3802.769,10,30,3,2025-08-21 19:27:21
step_size_fixed,aberth_150,rootfind_stepsize_150,6,3732.708,10,30,3,2025-08-21 19:27:25
step_size_fixed,aberth_150,rootfind_stepsize_150,7,3762.532,10,30,3,2025-08-21 19:27:29
step_size_fixed,aberth_150,rootfind_stepsize_150,8,3769.669,10,30,3,2025-08-21 19:27:32
step_size_fixed,aberth_150,rootfind_stepsize_150,9,3747.705,10,30,3,2025-08-21 19:27:36
step_size_fixed,aberth_150,rootfind_stepsize_150,10,3753.099,10,30,3,2025-08-21 19:27:40
step_size_fixed,aberth_150,rootfind_stepsize_150,11,3790.891,10,30,3,2025-08-21 19:27:44
step_size_fixed,aberth_150,rootfind_stepsize_150,12,3781.801,10,30,3,2025-08-21 19:27:47
step_size_fixed,aberth_150,rootfind_stepsize_150,13,3794.921,10,30,3,2025-08-21 19:27:51
step_size_fixed,aberth_150,rootfind_stepsize_150,14,3867.117,10,30,3,2025-08-21 19:27:55
step_size_fixed,aberth_150,rootfind_stepsize_150,15,3858.310,10,30,3,2025-08-21 19:27:59
step_size_fixed,aberth_150,rootfind_stepsize_150,16,3804.927,10,30,3,2025-08-21 19:28:03
step_size_fixed,aberth_150,rootfind_stepsize_150,17,3884.076,10,30,3,2025-08-21 19:28:07
step_size_fixed,aberth_150,rootfind_stepsize_150,18,4003.188,10,30,3,2025-08-21 19:28:11
step_size_fixed,aberth_150,rootfind_stepsize_150,19,3847.569,10,30,3,2025-08-21 19:28:15
step_size_fixed,aberth_150,rootfind_stepsize_150,20,3897.477,10,30,3,2025-08-21 19:28:18
step_size_fixed,aberth_300,rootfind_stepsize_300,1,5902.901,10,30,3,2025-08-21 19:30:05
