experiment_name,run_name,dataset_name,run_number,execution_time_ms,n,t,nx,timestamp
root_finder_step_size,jenkins_500,rootfind_stepsize_500,9,40054.023,10,30,3,2025-08-20 14:59:25
root_finder_step_size,jenkins_500,rootfind_stepsize_500,10,37355.242,10,30,3,2025-08-20 15:00:03
root_finder_step_size,newton_500,rootfind_stepsize_500,1,21054.007,10,30,3,2025-08-20 15:01:45
root_finder_step_size,newton_500,rootfind_stepsize_500,2,21272.442,10,30,3,2025-08-20 15:02:06
root_finder_step_size,newton_500,rootfind_stepsize_500,3,21277.874,10,30,3,2025-08-20 15:02:27
root_finder_step_size,newton_500,rootfind_stepsize_500,4,20911.325,10,30,3,2025-08-20 15:02:48
root_finder_step_size,newton_500,rootfind_stepsize_500,5,21140.374,10,30,3,2025-08-20 15:03:09
root_finder_step_size,newton_500,rootfind_stepsize_500,6,21284.679,10,30,3,2025-08-20 15:03:31
root_finder_step_size,newton_500,rootfind_stepsize_500,7,21275.830,10,30,3,2025-08-20 15:03:52
root_finder_step_size,newton_500,rootfind_stepsize_500,8,21163.943,10,30,3,2025-08-20 15:04:13
root_finder_step_size,newton_500,rootfind_stepsize_500,9,20644.371,10,30,3,2025-08-20 15:04:34
root_finder_step_size,newton_500,rootfind_stepsize_500,10,21531.845,10,30,3,2025-08-20 15:04:55
root_finder_step_size,newton_300,rootfind_stepsize_300,1,22617.501,10,30,3,2025-08-20 15:07:43
root_finder_step_size,newton_300,rootfind_stepsize_300,2,22588.046,10,30,3,2025-08-20 15:08:06
root_finder_step_size,newton_300,rootfind_stepsize_300,3,22581.837,10,30,3,2025-08-20 15:08:29
root_finder_step_size,newton_300,rootfind_stepsize_300,4,22601.068,10,30,3,2025-08-20 15:08:51
root_finder_step_size,newton_300,rootfind_stepsize_300,5,22426.532,10,30,3,2025-08-20 15:09:14
root_finder_step_size,newton_300,rootfind_stepsize_300,6,22467.137,10,30,3,2025-08-20 15:09:36
root_finder_step_size,newton_300,rootfind_stepsize_300,7,22734.956,10,30,3,2025-08-20 15:09:59
root_finder_step_size,newton_300,rootfind_stepsize_300,8,22457.979,10,30,3,2025-08-20 15:10:21
root_finder_step_size,newton_300,rootfind_stepsize_300,9,23370.108,10,30,3,2025-08-20 15:10:45
root_finder_step_size,newton_300,rootfind_stepsize_300,10,24847.760,10,30,3,2025-08-20 15:11:10
root_finder_step_size,newton_150,rootfind_stepsize_150,1,17596.615,10,30,3,2025-08-20 15:12:43
root_finder_step_size,newton_150,rootfind_stepsize_150,2,16956.795,10,30,3,2025-08-20 15:13:00
root_finder_step_size,newton_150,rootfind_stepsize_150,3,16576.613,10,30,3,2025-08-20 15:13:16
root_finder_step_size,newton_150,rootfind_stepsize_150,4,16902.798,10,30,3,2025-08-20 15:13:33
root_finder_step_size,newton_150,rootfind_stepsize_150,5,16598.580,10,30,3,2025-08-20 15:13:50
root_finder_step_size,newton_150,rootfind_stepsize_150,6,16605.390,10,30,3,2025-08-20 15:14:06
root_finder_step_size,newton_150,rootfind_stepsize_150,7,16528.948,10,30,3,2025-08-20 15:14:23
root_finder_step_size,newton_150,rootfind_stepsize_150,8,16515.818,10,30,3,2025-08-20 15:14:39
root_finder_step_size,newton_150,rootfind_stepsize_150,9,16700.411,10,30,3,2025-08-20 15:14:56
root_finder_step_size,newton_150,rootfind_stepsize_150,10,16791.984,10,30,3,2025-08-20 15:15:13
root_finder_step_size,newton_100,rootfind_stepsize_100,1,15768.210,10,30,3,2025-08-20 15:18:43
root_finder_step_size,newton_100,rootfind_stepsize_100,2,15048.087,10,30,3,2025-08-20 15:18:58
root_finder_step_size,newton_100,rootfind_stepsize_100,3,15558.600,10,30,3,2025-08-20 15:19:14
root_finder_step_size,newton_100,rootfind_stepsize_100,4,15116.163,10,30,3,2025-08-20 15:19:29
root_finder_step_size,newton_100,rootfind_stepsize_100,5,15321.939,10,30,3,2025-08-20 15:19:44
root_finder_step_size,newton_100,rootfind_stepsize_100,6,15313.157,10,30,3,2025-08-20 15:20:00
root_finder_step_size,newton_100,rootfind_stepsize_100,7,15156.473,10,30,3,2025-08-20 15:20:15
root_finder_step_size,newton_100,rootfind_stepsize_100,8,15157.258,10,30,3,2025-08-20 15:20:30
root_finder_step_size,newton_100,rootfind_stepsize_100,9,15550.290,10,30,3,2025-08-20 15:20:46
root_finder_step_size,newton_100,rootfind_stepsize_100,10,15559.081,10,30,3,2025-08-20 15:21:01
root_finder_step_size,newton_075,rootfind_stepsize_075,1,15656.014,10,30,3,2025-08-20 18:24:03
root_finder_step_size,newton_075,rootfind_stepsize_075,2,15559.300,10,30,3,2025-08-20 18:24:18
root_finder_step_size,newton_075,rootfind_stepsize_075,3,15011.404,10,30,3,2025-08-20 18:24:33
root_finder_step_size,newton_075,rootfind_stepsize_075,4,14409.706,10,30,3,2025-08-20 18:24:48
root_finder_step_size,newton_075,rootfind_stepsize_075,5,14575.185,10,30,3,2025-08-20 18:25:02
root_finder_step_size,newton_075,rootfind_stepsize_075,6,14664.504,10,30,3,2025-08-20 18:25:17
root_finder_step_size,newton_075,rootfind_stepsize_075,7,15449.212,10,30,3,2025-08-20 18:25:33
root_finder_step_size,newton_075,rootfind_stepsize_075,8,14870.570,10,30,3,2025-08-20 18:25:47
root_finder_step_size,newton_075,rootfind_stepsize_075,9,17085.203,10,30,3,2025-08-20 18:26:04
root_finder_step_size,newton_075,rootfind_stepsize_075,10,14736.936,10,30,3,2025-08-20 18:26:19
root_finder_step_size,newton_050,rootfind_stepsize_050,1,13230.327,10,30,3,2025-08-20 18:28:52
root_finder_step_size,newton_050,rootfind_stepsize_050,2,13079.025,10,30,3,2025-08-20 18:29:05
root_finder_step_size,newton_050,rootfind_stepsize_050,3,13155.502,10,30,3,2025-08-20 18:29:18
root_finder_step_size,newton_050,rootfind_stepsize_050,4,12882.392,10,30,3,2025-08-20 18:29:31
root_finder_step_size,newton_050,rootfind_stepsize_050,5,12962.376,10,30,3,2025-08-20 18:29:44
root_finder_step_size,newton_050,rootfind_stepsize_050,6,12944.839,10,30,3,2025-08-20 18:29:57
root_finder_step_size,newton_050,rootfind_stepsize_050,7,12876.244,10,30,3,2025-08-20 18:30:10
root_finder_step_size,newton_050,rootfind_stepsize_050,8,12700.292,10,30,3,2025-08-20 18:30:23
root_finder_step_size,newton_050,rootfind_stepsize_050,9,12612.567,10,30,3,2025-08-20 18:30:35
root_finder_step_size,newton_050,rootfind_stepsize_050,10,12784.742,10,30,3,2025-08-20 18:30:48
root_finder_step_size,aberth_050,rootfind_stepsize_050,1,4022.477,10,30,3,2025-08-20 18:32:31
root_finder_step_size,aberth_050,rootfind_stepsize_050,2,3428.603,10,30,3,2025-08-20 18:32:34
root_finder_step_size,aberth_050,rootfind_stepsize_050,3,3311.148,10,30,3,2025-08-20 18:32:37
root_finder_step_size,aberth_050,rootfind_stepsize_050,4,3365.726,10,30,3,2025-08-20 18:32:41
root_finder_step_size,aberth_050,rootfind_stepsize_050,5,3258.361,10,30,3,2025-08-20 18:32:44
root_finder_step_size,aberth_050,rootfind_stepsize_050,6,3385.839,10,30,3,2025-08-20 18:32:47
root_finder_step_size,aberth_050,rootfind_stepsize_050,7,3299.758,10,30,3,2025-08-20 18:32:51
root_finder_step_size,aberth_050,rootfind_stepsize_050,8,3463.031,10,30,3,2025-08-20 18:32:54
root_finder_step_size,aberth_050,rootfind_stepsize_050,9,3756.860,10,30,3,2025-08-20 18:32:58
root_finder_step_size,aberth_050,rootfind_stepsize_050,10,3697.333,10,30,3,2025-08-20 18:33:02
root_finder_step_size,aberth_075,rootfind_stepsize_075,1,4113.463,10,30,3,2025-08-20 18:34:21
root_finder_step_size,aberth_075,rootfind_stepsize_075,2,3597.103,10,30,3,2025-08-20 18:34:25
root_finder_step_size,aberth_075,rootfind_stepsize_075,3,3518.413,10,30,3,2025-08-20 18:34:28
root_finder_step_size,aberth_075,rootfind_stepsize_075,4,3601.462,10,30,3,2025-08-20 18:34:32
root_finder_step_size,aberth_075,rootfind_stepsize_075,5,3552.467,10,30,3,2025-08-20 18:34:35
root_finder_step_size,aberth_075,rootfind_stepsize_075,6,3461.055,10,30,3,2025-08-20 18:34:39
root_finder_step_size,aberth_075,rootfind_stepsize_075,7,3448.315,10,30,3,2025-08-20 18:34:42
root_finder_step_size,aberth_075,rootfind_stepsize_075,8,3600.284,10,30,3,2025-08-20 18:34:46
root_finder_step_size,aberth_075,rootfind_stepsize_075,9,3408.947,10,30,3,2025-08-20 18:34:49
root_finder_step_size,aberth_075,rootfind_stepsize_075,10,3368.976,10,30,3,2025-08-20 18:34:53
root_finder_step_size,aberth_100,rootfind_stepsize_100,1,4247.817,10,30,3,2025-08-20 18:36:19
root_finder_step_size,aberth_100,rootfind_stepsize_100,2,3563.645,10,30,3,2025-08-20 18:36:23
root_finder_step_size,aberth_100,rootfind_stepsize_100,3,3746.107,10,30,3,2025-08-20 18:36:27
root_finder_step_size,aberth_100,rootfind_stepsize_100,4,3656.329,10,30,3,2025-08-20 18:36:30
root_finder_step_size,aberth_100,rootfind_stepsize_100,5,3756.020,10,30,3,2025-08-20 18:36:34
root_finder_step_size,aberth_100,rootfind_stepsize_100,6,3693.296,10,30,3,2025-08-20 18:36:38
root_finder_step_size,aberth_100,rootfind_stepsize_100,7,3687.712,10,30,3,2025-08-20 18:36:41
root_finder_step_size,aberth_100,rootfind_stepsize_100,8,3828.613,10,30,3,2025-08-20 18:36:45
root_finder_step_size,aberth_100,rootfind_stepsize_100,9,4311.117,10,30,3,2025-08-20 18:36:50
root_finder_step_size,aberth_100,rootfind_stepsize_100,10,4301.218,10,30,3,2025-08-20 18:36:54
root_finder_step_size,aberth_150,rootfind_stepsize_150,1,4938.113,10,30,3,2025-08-20 18:38:52
root_finder_step_size,aberth_150,rootfind_stepsize_150,2,4066.394,10,30,3,2025-08-20 18:38:56
root_finder_step_size,aberth_150,rootfind_stepsize_150,3,3987.167,10,30,3,2025-08-20 18:39:00
root_finder_step_size,aberth_150,rootfind_stepsize_150,4,4072.809,10,30,3,2025-08-20 18:39:04
root_finder_step_size,aberth_150,rootfind_stepsize_150,5,4080.311,10,30,3,2025-08-20 18:39:09
root_finder_step_size,aberth_150,rootfind_stepsize_150,6,3885.219,10,30,3,2025-08-20 18:39:12
root_finder_step_size,aberth_150,rootfind_stepsize_150,7,3967.485,10,30,3,2025-08-20 18:39:16
root_finder_step_size,aberth_150,rootfind_stepsize_150,8,3992.648,10,30,3,2025-08-20 18:39:20
root_finder_step_size,aberth_150,rootfind_stepsize_150,9,4011.103,10,30,3,2025-08-20 18:39:24
root_finder_step_size,aberth_150,rootfind_stepsize_150,10,4079.010,10,30,3,2025-08-20 18:39:28
root_finder_step_size,aberth_300,rootfind_stepsize_300,1,5345.345,10,30,3,2025-08-20 18:41:16
root_finder_step_size,aberth_300,rootfind_stepsize_300,2,4290.244,10,30,3,2025-08-20 18:41:20
root_finder_step_size,aberth_300,rootfind_stepsize_300,3,4468.089,10,30,3,2025-08-20 18:41:24
root_finder_step_size,aberth_300,rootfind_stepsize_300,4,4658.429,10,30,3,2025-08-20 18:41:29
root_finder_step_size,aberth_300,rootfind_stepsize_300,5,4610.621,10,30,3,2025-08-20 18:41:34
root_finder_step_size,aberth_300,rootfind_stepsize_300,6,4209.301,10,30,3,2025-08-20 18:41:38
root_finder_step_size,aberth_300,rootfind_stepsize_300,7,4378.402,10,30,3,2025-08-20 18:41:42
root_finder_step_size,aberth_300,rootfind_stepsize_300,8,4451.447,10,30,3,2025-08-20 18:41:47
root_finder_step_size,aberth_300,rootfind_stepsize_300,9,4504.985,10,30,3,2025-08-20 18:41:51
root_finder_step_size,aberth_300,rootfind_stepsize_300,10,4413.595,10,30,3,2025-08-20 18:41:56
root_finder_step_size,aberth_500,rootfind_stepsize_500,1,5919.891,10,30,3,2025-08-20 18:43:44
root_finder_step_size,aberth_500,rootfind_stepsize_500,2,4608.120,10,30,3,2025-08-20 18:43:48
root_finder_step_size,aberth_500,rootfind_stepsize_500,3,4617.293,10,30,3,2025-08-20 18:43:53
root_finder_step_size,aberth_500,rootfind_stepsize_500,4,4604.755,10,30,3,2025-08-20 18:43:58
root_finder_step_size,aberth_500,rootfind_stepsize_500,5,4629.881,10,30,3,2025-08-20 18:44:02
root_finder_step_size,aberth_500,rootfind_stepsize_500,6,4655.407,10,30,3,2025-08-20 18:44:07
root_finder_step_size,aberth_500,rootfind_stepsize_500,7,4646.922,10,30,3,2025-08-20 18:44:12
root_finder_step_size,aberth_500,rootfind_stepsize_500,8,4566.887,10,30,3,2025-08-20 18:44:16
root_finder_step_size,aberth_500,rootfind_stepsize_500,9,4675.150,10,30,3,2025-08-20 18:44:21
root_finder_step_size,aberth_500,rootfind_stepsize_500,10,4597.114,10,30,3,2025-08-20 18:44:25
