experiment_name,run_name,dataset_name,run_number,parameter_type,parameter_index,true_value,estimated_value,error,probability,timestamp
root_finding,JenkinsTraub,med_a,1,break_indicator,38,0.00000000,0.01133333,0.01133333,0.01133333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,39,0.00000000,0.00844444,0.00844444,0.00844444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,40,0.00000000,0.01044444,0.01044444,0.01044444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,41,0.00000000,0.00622222,0.00622222,0.00622222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,42,0.00000000,0.01422222,0.01422222,0.01422222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,43,0.00000000,0.01288889,0.01288889,0.01288889,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,44,0.00000000,0.01577778,0.01577778,0.01577778,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,45,0.00000000,0.01511111,0.01511111,0.01511111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,46,0.00000000,0.01288889,0.01288889,0.01288889,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,47,0.00000000,0.01288889,0.01288889,0.01288889,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,48,0.00000000,0.01511111,0.01511111,0.01511111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,49,0.00000000,0.02488889,0.02488889,0.02488889,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,50,0.00000000,0.01644444,0.01644444,0.01644444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,51,0.00000000,0.84400000,0.84400000,0.84400000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,52,0.00000000,0.18355556,0.18355556,0.18355556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,53,0.00000000,0.01333333,0.01333333,0.01333333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,54,0.00000000,0.00600000,0.00600000,0.00600000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,55,0.00000000,0.00533333,0.00533333,0.00533333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,56,0.00000000,0.00466667,0.00466667,0.00466667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,57,0.00000000,0.00644444,0.00644444,0.00644444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,58,0.00000000,0.00688889,0.00688889,0.00688889,2025-08-19 20:05:37
